station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
HTO,2020-01-13 09:55,37.00,30.70,78.04,70.00,3.00,0.00,30.44,M,10.00,M,BKN,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,34.29,KHTO 130955Z AUTO 07003KT 10SM BKN015 03/M01 A3044 RMK AO2 LTG DSNT NE T00271007,M
HTO,2020-01-13 10:15,38.00,31.80,78.45,60.00,3.00,0.00,30.45,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,35.43,KHTO 131015Z AUTO 06003KT 10SM OVC013 03/00 A3045 RMK AO2 T00331001,M
HTO,2020-01-13 10:35,39.20,33.30,79.19,80.00,5.00,0.00,30.45,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,34.95,KHTO 131035Z AUTO 08005KT 10SM OVC013 04/01 A3045 RMK AO2 T00400007,M
HTO,2020-03-02 18:15,49.30,39.70,69.36,210.00,14.00,0.00,29.96,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.46,KHTO 021815Z AUTO 21014G26KT 10SM CLR 10/04 A2996 RMK AO2 T00960043,M
HTO,2020-03-02 18:35,50.20,40.00,67.60,210.00,14.00,0.00,29.95,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.20,KHTO 021835Z AUTO 21014G18KT 10SM CLR 10/04 A2995 RMK AO2 T01010044,M
HTO,2020-03-04 17:55,50.50,23.00,33.75,280.00,13.00,0.00,29.71,M,10.00,28.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.50,KHTO 041755Z AUTO 28013G28KT 10SM CLR 10/M05 A2971 RMK AO2 T01031050 10105 20065,M
HTO,2020-03-04 18:15,51.30,22.50,32.09,270.00,13.00,0.00,29.71,M,10.00,25.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.30,KHTO 041815Z AUTO 27013G25KT 10SM CLR 11/M05 A2971 RMK AO2 T01071053,M
HTO,2020-03-04 18:35,51.00,21.90,31.52,270.00,14.00,0.00,29.70,M,10.00,25.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.10,KHTO 041835Z AUTO 27014G25KT 10SM CLR 11/M06 A2970 RMK AO2 T01061056,M
HTO,2020-03-05 18:15,46.60,21.90,37.29,240.00,6.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.11,KHTO 051815Z AUTO 24006KT 10SM CLR 08/M06 A3009 RMK AO2 T00811056,M
HTO,2020-03-05 18:35,47.30,22.60,37.41,240.00,8.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.96,KHTO 051835Z AUTO 24008KT 10SM CLR 09/M05 A3009 RMK AO2 T00851052,M
HTO,2020-06-29 01:55,71.00,68.20,91.18,0.00,0.00,0.00,29.74,M,10.00,M,BKN,OVC,M,M,6000.00,7500.00,M,M,M,M,M,M,M,M,M,70.90,KHTO 290155Z AUTO 00000KT 10SM BKN060 OVC075 22/20 A2974 RMK AO2 LTG DSNT E T02160201,M
HTO,2020-06-29 02:15,70.20,68.20,93.38,0.00,0.00,0.00,29.73,M,10.00,M,SCT,SCT,SCT,M,6000.00,7500.00,12000.00,M,M,M,M,M,M,M,M,70.20,KHTO 290215Z AUTO 00000KT 10SM SCT060 SCT075 SCT120 21/20 A2973 RMK AO2 LTG DSNT E T02120201,M
HTO,2020-06-29 02:35,69.80,68.00,94.01,80.00,3.00,0.00,29.74,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,69.80,KHTO 290235Z AUTO 08003KT 10SM SCT110 21/20 A2974 RMK AO2 LTG DSNT NE T02100200,M
HTO,2020-09-11 20:55,66.70,59.40,77.36,80.00,6.00,0.00,30.18,M,10.00,M,SCT,SCT,M,M,1900.00,2700.00,M,M,M,M,M,M,M,M,M,66.70,KHTO 112055Z AUTO 08006KT 10SM SCT019 SCT027 19/15 A3018 RMK AO2 T01930152,M
HTO,2020-09-11 21:15,65.30,59.40,81.22,80.00,6.00,0.00,30.19,M,10.00,M,BKN,BKN,M,M,1900.00,2900.00,M,M,M,M,M,M,M,M,M,65.30,KHTO 112115Z AUTO 08006KT 10SM BKN019 BKN029 19/15 A3019 RMK AO2 T01850152,M
HTO,2020-09-11 21:35,64.80,59.00,81.47,90.00,5.00,0.00,30.20,M,10.00,M,BKN,BKN,M,M,1900.00,2900.00,M,M,M,M,M,M,M,M,M,64.80,KHTO 112135Z AUTO 09005KT 10SM BKN019 BKN029 18/15 A3020 RMK AO2 T01820150,M
HTO,2020-09-11 21:55,64.40,58.30,80.57,90.00,5.00,0.00,30.20,M,10.00,M,SCT,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,64.40,KHTO 112155Z AUTO 09005KT 10SM SCT019 18/15 A3020 RMK AO2 T01800146,M
HTO,2020-09-11 22:15,63.50,58.00,82.56,80.00,5.00,0.00,30.21,M,10.00,M,SCT,SCT,M,M,1900.00,3100.00,M,M,M,M,M,M,M,M,M,63.50,KHTO 112215Z AUTO 08005KT 10SM SCT019 SCT031 18/15 A3021 RMK AO2 T01750145,M
HTO,2020-09-11 22:35,63.00,57.40,81.64,80.00,4.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,63.10,KHTO 112235Z AUTO 08004KT 10SM CLR 17/14 A3021 RMK AO2 T01730141,M
HTO,2020-09-16 03:55,44.60,43.30,95.15,0.00,0.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.60,KHTO 160355Z AUTO 00000KT 10SM CLR 07/06 A3029 RMK AO2 T00700063,M
HTO,2020-09-16 04:15,43.00,42.00,96.60,0.00,0.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.00,KHTO 160415Z AUTO 00000KT 10SM CLR 06/06 A3029 RMK AO2 T00610056,M
HTO,2020-09-16 04:35,42.80,42.00,96.60,0.00,0.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.80,KHTO 160435Z AUTO 00000KT 10SM CLR 06/06 A3029 RMK AO2 T00600055,M
HTO,2020-09-16 04:55,43.30,42.40,96.60,0.00,0.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.30,KHTO 160455Z AUTO 00000KT 10SM CLR 06/06 A3029 RMK AO2 T00630058 401760060,M
HTO,2020-09-16 05:15,43.00,42.00,96.60,0.00,0.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.00,KHTO 160515Z AUTO 00000KT 10SM CLR 06/06 A3029 RMK AO2 T00610056,M
HTO,2020-09-16 07:15,42.40,41.50,96.59,0.00,0.00,0.00,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.40,KHTO 160715Z AUTO 00000KT 10SM CLR 06/05 A3026 RMK AO2 T00580053,M
HTO,2020-09-16 07:35,42.00,41.20,96.59,0.00,0.00,0.00,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.10,KHTO 160735Z AUTO 00000KT 10SM CLR 06/05 A3026 RMK AO2 T00560051,M
HTO,2020-09-16 07:55,42.00,41.20,96.59,0.00,0.00,0.00,30.25,M,10.00,M,SCT,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,42.10,KHTO 160755Z AUTO 00000KT 10SM SCT029 06/05 A3025 RMK AO2 T00560051,M
HTO,2020-09-16 08:15,42.80,41.70,95.85,0.00,0.00,0.00,30.25,M,10.00,M,SCT,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,42.80,KHTO 160815Z AUTO 00000KT 10SM SCT029 06/05 A3025 RMK AO2 T00600054,M
HTO,2020-09-16 08:35,42.80,42.00,96.60,0.00,0.00,0.00,30.25,M,10.00,M,BKN,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,42.80,KHTO 160835Z AUTO 00000KT 10SM BKN029 06/06 A3025 RMK AO2 T00600055,M
HTO,2020-09-16 08:55,43.50,42.30,95.50,0.00,0.00,0.00,30.25,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,43.50,KHTO 160855Z AUTO 00000KT 10SM BKN031 06/06 A3025 RMK AO2 T00640057,M
HTO,2020-09-16 09:15,44.00,42.80,95.87,0.00,0.00,0.00,30.25,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,43.90,KHTO 160915Z AUTO 00000KT 10SM BKN031 07/06 A3025 RMK AO2 T00660060,M
HTO,2020-09-16 09:35,43.70,42.80,96.61,0.00,0.00,0.00,30.25,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,43.70,KHTO 160935Z AUTO 00000KT 10SM BKN031 07/06 A3025 RMK AO2 T00650060,M
HTO,2020-09-16 09:55,44.60,43.70,96.62,0.00,0.00,0.00,30.25,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,44.60,KHTO 160955Z AUTO 00000KT 10SM BKN031 07/07 A3025 RMK AO2 T00700065,M
HTO,2020-09-16 10:15,45.30,44.20,95.90,0.00,0.00,0.00,30.25,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,45.30,KHTO 161015Z AUTO 00000KT 10SM BKN031 07/07 A3025 RMK AO2 T00740068,M
HTO,2020-09-16 10:35,45.70,44.80,96.64,0.00,0.00,0.00,30.25,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,45.70,KHTO 161035Z AUTO 00000KT 10SM BKN031 08/07 A3025 RMK AO2 T00760071,M
HTO,2020-09-16 10:55,46.20,45.50,97.38,0.00,0.00,0.00,30.26,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,46.20,KHTO 161055Z AUTO 00000KT 10SM BKN031 08/08 A3026 RMK AO2 T00790075,M
HTO,2020-09-16 11:15,48.00,47.30,97.40,0.00,0.00,0.00,30.27,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,48.00,KHTO 161115Z AUTO 00000KT 10SM OVC031 09/09 A3027 RMK AO2 T00890085,M
HTO,2020-09-16 11:35,49.80,48.20,94.20,0.00,0.00,0.00,30.26,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,49.80,KHTO 161135Z AUTO 00000KT 10SM BKN031 10/09 A3026 RMK AO2 T00990090,M
HTO,2020-09-18 19:55,66.70,52.70,60.69,350.00,11.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.70,KHTO 181955Z AUTO 35011KT 10SM CLR 19/12 A2993 RMK AO2 T01930115,M
HTO,2020-09-18 20:15,67.00,53.00,60.74,360.00,8.00,0.00,29.93,M,10.00,16.00,SCT,M,M,M,3400.00,M,M,M,M,M,M,M,M,M,M,67.10,KHTO 182015Z AUTO 36008G16KT 340V040 10SM SCT034 20/12 A2993 RMK AO2 T01950117,M
HTO,2020-09-18 20:30,65.50,52.20,62.12,360.00,8.00,0.00,29.94,M,10.00,M,SCT,SCT,M,M,3400.00,6000.00,M,M,M,M,M,M,M,M,M,65.50,KHTO 182030Z AUTO 36008KT 10SM SCT034 SCT060 19/11 A2994 RMK AO2 T01860112,M
HTO,2021-10-04 18:55,63.50,62.00,95.19,80.00,8.00,0.00,30.00,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,63.50,KHTO 041855Z AUTO 08008KT 10SM OVC008 18/17 A3000 RMK AO2 T01750167,M
HTO,2021-10-04 19:15,63.50,62.00,94.52,70.00,9.00,0.00,30.00,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,63.50,KHTO 041915Z AUTO 07009KT 10SM OVC008 18/17 A3000 RMK AO2 T01750166,M
HTO,2021-10-04 19:35,63.50,62.00,94.52,80.00,7.00,0.00,30.00,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,63.50,KHTO 041935Z AUTO 08007KT 010V100 10SM OVC008 18/17 A3000 RMK AO2 T01750166,M
HTO,2021-10-04 19:55,63.70,62.00,94.53,70.00,8.00,0.00,30.00,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,63.70,KHTO 041955Z AUTO 07008KT 10SM OVC008 18/17 A3000 RMK AO2 T01760167,M
HTO,2021-10-04 20:15,63.50,62.00,94.52,80.00,9.00,0.00,30.00,M,3.00,16.00,OVC,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,63.50,KHTO 042015Z AUTO 08009G16KT 3SM BR OVC008 18/17 A3000 RMK AO2 T01750166,M
HTO,2021-10-04 20:35,63.00,62.00,96.54,90.00,8.00,0.00,30.00,M,2.00,16.00,OVC,M,M,M,600.00,M,M,M,-RA,M,M,M,M,M,M,63.10,KHTO 042035Z AUTO 09008G16KT 2SM -RA OVC006 17/17 A3000 RMK AO2 T01730167,M
HTO,2021-10-04 20:55,63.00,62.20,96.88,80.00,8.00,0.00,30.00,M,2.50,M,OVC,M,M,M,600.00,M,M,M,BR,M,M,M,M,M,M,63.10,KHTO 042055Z AUTO 08008KT 2 1/2SM BR OVC006 17/17 A3000 RMK AO2 T01730168,M
HTO,2021-10-04 21:15,63.00,62.00,96.88,80.00,7.00,0.00,30.01,M,5.00,15.00,OVC,M,M,M,600.00,M,M,M,BR,M,M,M,M,M,M,63.00,KHTO 042115Z AUTO 08007G15KT 5SM BR OVC006 17/17 A3001 RMK AO2 T01720167,M
HTO,2021-10-04 21:35,63.00,62.00,96.88,70.00,7.00,0.00,30.01,M,7.00,15.00,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,63.00,KHTO 042135Z AUTO 07007G15KT 7SM OVC006 17/17 A3001 RMK AO2 T01720167,M
HTO,2021-10-04 21:55,62.80,62.00,96.88,70.00,10.00,0.00,30.01,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,62.80,KHTO 042155Z AUTO 07010KT 10SM OVC006 17/17 A3001 RMK AO2 T01710166,M
HTO,2021-10-04 22:15,62.80,61.70,96.19,70.00,10.00,0.00,30.02,M,10.00,16.00,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,62.80,KHTO 042215Z AUTO 07010G16KT 10SM OVC008 17/17 A3002 RMK AO2 T01710165,M
HTO,2021-10-04 22:35,62.80,61.70,96.19,80.00,6.00,0.00,30.03,M,10.00,15.00,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,62.80,KHTO 042235Z AUTO 08006G15KT 10SM OVC008 17/17 A3003 RMK AO2 T01710165,M
HTO,2021-10-04 22:55,62.60,61.70,96.87,80.00,9.00,0.00,30.03,M,5.00,15.00,OVC,M,M,M,800.00,M,M,M,-RA,M,M,M,M,M,M,62.60,KHTO 042255Z AUTO 08009G15KT 5SM -RA OVC008 17/17 A3003 RMK AO2 T01700165,M
