stid,station_name,lat,lon,elev,begints,endts,iem_network
6B9,Skaneateles,42.914,-76.4408,304.32452,2016-07-22 00:00,,NY_ASOS
ALB,ALBANY COUNTY ARPT,42.7576,-73.8036,89,1945-01-01 00:00,,NY_ASOS
ART,WATERTOWN INTL ARPT,43.9888,-76.0262,99,1949-04-30 00:00,,NY_ASOS
BGM,BINGHAMTON/BROOME,42.2086,-75.9797,497,1948-01-01 00:00,,NY_ASOS
BUF,BUFFALO INTL ARPT,42.9408,-78.7358,215,1942-01-31 00:00,,NY_ASOS
DKK,DUNKIRK AIRPORT,42.4933,-79.272,203,1948-12-31 00:00,,NY_ASOS
DSV,DANSVILLE MUNICIPAL,42.5709,-77.713,209,1948-12-31 00:00,,NY_ASOS
ELM,Elmira / Corning,42.1571,-76.8994,287.12537,1949-02-01 00:00,,NY_ASOS
ELZ,Wellsville Municipal,42.1078,-77.9842,639,1978-06-13 00:00,,NY_ASOS
FOK,WESTHAMPTON BEACH,40.8436,-72.6318,20,1943-07-18 00:00,,NY_ASOS
FRG,FARMINGDALE/REPUBLC,40.7288,-73.4134,25,1943-04-12 00:00,,NY_ASOS
FZY,Oswego County,43.3504,-76.3831,141.82646,1997-05-31 00:00,,NY_ASOS
GFL,GLEN FALLS/WARREN,43.3412,-73.6103,100,1949-01-31 00:00,,NY_ASOS
GTB,FORT DRUM/WHEELER,44.0556,-75.7195,207,1942-01-01 00:00,,NY_ASOS
GVQ,Batavia,43.0317,-78.1675,275.45084,2009-06-28 00:00,,NY_ASOS
HPN,WHITE PLAINS,41.0669,-73.7075,134,1948-12-31 00:00,,NY_ASOS
HTO,EAST HAMPTON,40.96,-72.25,17,2000-01-07 00:00,2022-03-02 00:00,NY_ASOS
HWV,BROOKHAVEN AIRPORT/SHIRLEY,40.8217,-72.8689,25,1999-09-30 00:00,,NY_ASOS
IAG,NIAGARA FALLS INTL,43.1073,-78.9462,180,1951-06-12 00:00,,NY_ASOS
ISP,ISLIP/MACARTHUR,40.7939,-73.1017,30,1972-12-31 00:00,,NY_ASOS
ITH,Ithaca,42.491,-76.4584,335,1972-12-31 00:00,,NY_ASOS
IUA,Canandaigua,42.9089,-77.3252,244.59789,2021-10-14 00:00,,NY_ASOS
JFK,NEW YORK/JF KENNEDY,40.6386,-73.7622,7,1948-07-01 00:00,,NY_ASOS
JHW,JAMESTOWN (AWOS),42.1534,-79.258,525,1972-12-31 00:00,,NY_ASOS
JPX,East Hampton,40.9594,-72.2517,11,1996-07-01 00:00,,NY_ASOS
JRB,Manhattan - Wall Street,40.7012,-74.009,0,2016-07-21 00:00,,NY_ASOS
LGA,New York/LaGuardia,40.7794,-73.8803,9,1948-07-01 00:00,,NY_ASOS
MGJ,ORANGE COUNTY AIRPORT,41.5092,-74.265,111,1997-12-31 00:00,,NY_ASOS
MSS,MASSENA/RICHARDS,44.9358,-74.8456,65,1949-02-01 00:00,,NY_ASOS
MSV,MONTICELLO(AWOS),41.7016,-74.795,428,1981-02-12 00:00,,NY_ASOS
MTP,MONTAUK AIRPORT,41.0731,-71.9233,6,1975-10-01 00:00,,NY_ASOS
N03,Cortland,42.5929,-76.2174,356.6352,2013-10-24 00:00,,NY_ASOS
NY0,Johnstown,42.9982,-74.3296,263.0099,2014-08-20 00:00,,NY_ASOS
NYC,NEW YORK CITY,40.779,-73.9692,27,1943-12-01 00:00,,NY_ASOS
OGS,OGDENSBURG INTL,44.6819,-75.4655,91,1977-05-01 00:00,,NY_ASOS
OIC,Norwich,42.5666,-75.5241,306.802,2007-12-17 00:00,,NY_ASOS
OLE,Olean,42.2412,-78.3714,649.31976,1987-08-13 00:00,,NY_ASOS
PBG,Plattsburgh AFB,44.6382,-73.4624,46.954082,1956-01-14 00:00,,NY_ASOS
PEO,Penn Yan,42.6441,-77.0529,267,1997-12-31 00:00,,NY_ASOS
PLB,PLATTSBURGH/CLINTON,44.6875,-73.5245,113,1978-08-22 00:00,2007-05-22 00:00,NY_ASOS
POU,POUGHKEEPSIE,41.6266,-73.8842,51,1948-12-31 00:00,,NY_ASOS
PTD,Potsdam,44.6757,-74.9469,140.47034,2018-02-03 00:00,,NY_ASOS
RME,Griffiss AFB / Rome,43.2239,-75.3953,143.61661,1942-07-01 00:00,,NY_ASOS
ROC,ROCHESTER/MONROE CO,43.1167,-77.6767,169,1948-01-01 00:00,,NY_ASOS
SCH,SCHENECTADY AIRPORT,42.85,-73.93,115,1950-01-01 00:00,,NY_ASOS
SDC,Williamson,43.2346,-77.1195,127.86328,2017-12-08 00:00,,NY_ASOS
SLK,SARANAC LAKE/ADIRON,44.3853,-74.2062,507,1973-01-01 00:00,,NY_ASOS
SWF,NEWBURGH/STEWART,41.5041,-74.1048,150,1942-08-01 00:00,,NY_ASOS
SYR,SYRACUSE/HANCOCK,43.1112,-76.1063,124,1942-10-01 00:00,,NY_ASOS
UCA,UTICA/ONEIDA CO.,43.1451,-75.3839,226,1947-12-31 00:00,2010-12-31 00:00,NY_ASOS
VGC,Hamilton,42.8434,-75.5612,342.82568,2020-08-06 00:00,,NY_ASOS
XNT,Springville - Bertrand Chaffee,42.5084,-78.6581,423.819,2016-08-24 00:00,2017-07-05 00:00,NY_ASOS